State,Label,Latitude,Longitude,Elevation_Avg,Population2018_Portion_of_Total,Forest_Cover,Urbanization2010_Percent
Alabama,AL,32.806671,-86.79113,500,0.014903859,0.706,0.59
Alaska,AK,61.370716,-152.404419,1900,0.002249985,0.304,0.66
Arizona,AZ,33.729759,-111.431221,4100,0.021717055,0.048,0.898
Arkansas,AR,34.969704,-92.373123,650,0.009207404,0.551,0.562
California,CA,36.116203,-119.681564,2900,0.121258837,0.178,0.952
Colorado,CO,39.059811,-105.311104,6800,0.017328174,0.175,0.862
Connecticut,CT,41.597782,-72.755371,500,0.010940025,0.547,0.88
Delaware,DE,39.318523,-75.507141,60,0.002960622,0.3,0.833
District of Columbia,DC,38.897438,-77.026817,150,0.002144934,0.01,1
Florida,FL,27.766279,-81.686783,100,0.064969831,0.424,0.912
Georgia,GA,33.040619,-83.643074,600,0.032146633,0.642,0.751
Hawaii,HI,21.094318,-157.498337,3030,0.004348329,0.17,0.919
Idaho,ID,44.240459,-114.478828,5000,0.005346606,0.318,0.706
Illinois,IL,40.349457,-88.986137,600,0.038923957,0.115,0.885
Indiana,IN,39.849426,-86.258278,700,0.020423679,0.189,0.724
Iowa,IA,42.011539,-93.210526,1100,0.00963488,0.054,0.64
Kansas,KS,38.5266,-96.726486,2000,0.008897032,0.028,0.742
Kentucky,KY,37.66814,-84.670067,750,0.013633607,0.486,0.584
Louisiana,LA,31.169546,-91.867805,100,0.014274531,0.492,0.732
Maine,ME,44.693947,-69.381927,600,0.004089785,0.89,0.387
Maryland,MD,39.063946,-76.802101,350,0.01853354,0.379,0.872
Massachusetts,MA,42.230171,-71.530106,500,0.021022059,0.525,0.92
Michigan,MI,43.326618,-84.536095,900,0.030457895,0.512,0.746
Minnesota,MN,45.694454,-93.900192,1200,0.017157335,0.289,0.733
Mississippi,MS,32.741646,-89.678696,300,0.009092958,0.619,0.493
Missouri,MO,38.456085,-92.288368,800,0.018705127,0.303,0.704
Montana,MT,46.921925,-110.454353,3400,0.003238491,0.206,0.559
Nebraska,NE,41.12537,-98.268082,2600,0.005891335,0.018,0.731
Nevada,NV,38.313515,-117.055374,5500,0.009318664,0.005,0.942
New Hampshire,NH,43.452492,-71.563896,1000,0.0041172,0.775,0.603
New Jersey,NJ,40.298904,-74.521011,250,0.027536522,0.395,0.947
New Mexico,NM,34.840515,-106.248482,5700,0.00637348,0.056,0.774
New York,NY,42.165726,-74.948051,1000,0.060550454,0.509,0.879
North Carolina,NC,35.630066,-79.806419,700,0.031674153,0.599,0.661
North Dakota,ND,47.528912,-99.784012,1900,0.002302327,0.01,0.599
Ohio,OH,40.388783,-82.764915,850,0.03565094,0.289,0.779
Oklahoma,OK,35.565342,-96.928917,1300,0.012012596,0.142,0.662
Oregon,OR,44.572021,-122.070938,3300,0.01280228,0.388,0.81
Pennsylvania,PA,40.590752,-77.209755,1100,0.039093663,0.553,0.787
Rhode Island,RI,41.680893,-71.51178,350,0.003236607,0.508,0.907
South Carolina,SC,33.856892,-80.945007,350,0.015513454,0.638,0.663
South Dakota,SD,44.299782,-99.438828,2200,0.002675925,0.031,0.567
Tennessee,TN,35.747845,-86.692345,900,0.020676505,0.529,0.664
Texas,TX,31.054487,-97.563461,1700,0.087504552,0.07,0.847
Utah,UT,40.150032,-111.862434,6100,0.009631197,0.089,0.906
Vermont,VT,44.045876,-72.710686,1000,0.001902129,0.757,0.389
Virginia,VA,37.769337,-78.169968,950,0.025990297,0.607,0.755
Washington,WA,47.400902,-121.490494,1700,0.022956731,0.407,0.84
West Virginia,WV,38.491226,-80.954453,1500,0.005496643,0.772,0.487
Wisconsin,WI,44.268543,-89.616508,1050,0.017736201,0.452,0.702
Wyoming,WY,42.755966,-107.30249,6700,0.001748973,0.092,0.648
