"Year","DemocratWon","WIR_1","Nevada.VoteDemocrat","Ohio.VoteDemocrat"
1912,1,4.992740154,1,1
1916,1,5.588577747,1,1
1920,0,3.678928375,0,0
1924,0,3.825168371,0,0
1928,0,4.316893101,0,0
1932,1,4.867656708,1,1
1936,1,4.986595631,1,1
1940,1,4.686724663,1,1
1944,1,2.421179533,1,0
1948,1,3.551579714,1,1
1952,0,3.359772205,0,0
1956,0,3.447951078,0,0
1960,1,3.694544792,1,0
1964,1,3.71309185,1,1
1968,0,3.649641037,0,0
1972,0,3.684837818,0,0
1976,1,3.604328394,0,1
1980,0,3.673873186,0,0
1984,0,4.013340473,0,0
1988,0,4.024420261,0,0
1992,1,4.066305161,1,1
1996,1,3.915928841,1,1
2000,0,4.865877628,0,0
2004,0,4.650928974,0,0
2008,1,5.494060993,1,1
2012,1,4.180882454,1,1
2016,0,4.35865247385767,1,0
